name,description,url,research_area,research_url,research_description,committee_member,score,committee_title
Bonnie Mak,Associate Professor,https://ischool.illinois.edu/people/bonnie-mak,Archives and Preservation,https://ischool.illinois.edu/research/areas/archives-and-preservation,"Protecting and maintaining collections and materials in archives
",Bonnie Mak,100.0,Undergraduate Programs
Daniel Tracy,Affiliate Associate Professor,https://ischool.illinois.edu/people/daniel-tracy,Archives and Preservation,https://ischool.illinois.edu/research/areas/archives-and-preservation,"Protecting and maintaining collections and materials in archives
",,,
Emily Maemura,Assistant Professor,https://ischool.illinois.edu/people/emily-maemura,Archives and Preservation,https://ischool.illinois.edu/research/areas/archives-and-preservation,"Protecting and maintaining collections and materials in archives
",Emily Maemura,100.0,PhD 
Emily Maemura,Assistant Professor,https://ischool.illinois.edu/people/emily-maemura,Cultural Informatics and Heritage,https://ischool.illinois.edu/research/areas/cultural-informatics-and-heritage,"Understanding the role of information technology in preserving, transmitting, and shaping human culture and heritage
",Emily Maemura,100.0,PhD 
Emily Maemura,Assistant Professor,https://ischool.illinois.edu/people/emily-maemura,Data Analytics and Human Centered Data,https://ischool.illinois.edu/research/areas/data-analytics-and-human-centered-data,"Using computational methods to transform both structured and unstructured data into actionable knowledge; and to understand and enable humans to explore and gain insight from vast data sets
",Emily Maemura,100.0,PhD 
Emily Maemura,Assistant Professor,https://ischool.illinois.edu/people/emily-maemura,Data Curation,https://ischool.illinois.edu/research/areas/data-curation,"Active and on-going management of data through its lifecycle of interest and usefulness to scholarship, science, and education
",Emily Maemura,100.0,PhD 
Emily Maemura,Assistant Professor,https://ischool.illinois.edu/people/emily-maemura,Digital Humanities,https://ischool.illinois.edu/research/areas/digital-humanities,"Applying computing or using digital media in the humanities disciplines
",Emily Maemura,100.0,PhD 
Emily Maemura,Assistant Professor,https://ischool.illinois.edu/people/emily-maemura,Digital Libraries,https://ischool.illinois.edu/research/areas/digital-libraries,"Studying how to most effectively store, structure, retrieve, interpret and preserve collections of digital objects to serve a particular community or communities
",Emily Maemura,100.0,PhD 
Emily Maemura,Assistant Professor,https://ischool.illinois.edu/people/emily-maemura,Organization of Knowledge and Information,https://ischool.illinois.edu/research/areas/organization-knowledge-and-information,"Bringing structure to the record of human culture and our accounts of the natural and social world
",Emily Maemura,100.0,PhD 
Jimi Jones,Adjunct Lecturer,https://ischool.illinois.edu/people/jimi-jones,Archives and Preservation,https://ischool.illinois.edu/research/areas/archives-and-preservation,"Protecting and maintaining collections and materials in archives
",,,
Jimi Jones,Adjunct Lecturer,https://ischool.illinois.edu/people/jimi-jones,Digital Libraries,https://ischool.illinois.edu/research/areas/digital-libraries,"Studying how to most effectively store, structure, retrieve, interpret and preserve collections of digital objects to serve a particular community or communities
",,,
Judith Pintar,Teaching Associate Professor,https://ischool.illinois.edu/people/judith-pintar,Archives and Preservation,https://ischool.illinois.edu/research/areas/archives-and-preservation,"Protecting and maintaining collections and materials in archives
",Judith Pintar,100.0,Capricious Grading & Student Conduct       
Judith Pintar,Teaching Associate Professor,https://ischool.illinois.edu/people/judith-pintar,Artificial Intelligence and Machine Learning,https://ischool.illinois.edu/research/areas/artificial-intelligence-and-machine-learning,"Researching the models, methods, uses, and impact of intelligent systems design for processing data and information
",Judith Pintar,100.0,Capricious Grading & Student Conduct       
